RecordID,ReportedModel,ModelVariantName,DateSet,SpeedKph,Sponsor,Description
1009,747-100,747-100,1993-02-09,,,"Speed: 1082.84 kmh, 672.85 mph, 584.69 kts "
1010,DC-10-40,DC-10-40,1995-01-10,,,"Speed: 979.65 kmh, 608.73 mph, 528.97 kts "
1011,747-238B,747-238B,1988-01-12,,,"Speed: 937.08 kmh, 582.27 mph, 505.98 kts "
1012,747-200B,747-200B,2002-07-13,,,"Speed: 914.63 kmh, 568.32 mph, 493.86 kts "
1013,DC-10-30F,DC-10-30F,2003-05-07,,,"Speed: 972.37 kmh, 604.2 mph, 525.04 kts "
1014,747-100,747-100,2000-11-11,,,"Speed: 860.65 kmh, 534.78 mph, 464.71 kts "
1015,DC-10-10,DC-10-10,1983-02-01,,,"Speed: 1033.2 kmh, 642 mph, 557.88 kts "
1016,DC-10-30,DC-10-30,2002-02-05,,,"Speed: 982.8 kmh, 610.68 mph, 530.67 kts "
1017,747,77,1994-02-18,,,"Speed: 995.38 kmh, 618.5 mph, 537.46 kts "
1018,747-400,747-400,2000-01-28,,,"Speed: 785.07 kmh, 487.82 mph, 423.9 kts "
1019,727-100,727-100,1980-10-26,,,"Speed: 982.08608256 kmh, 610.24 mph, 530.28 kts "
1020,DC-10-30,DC-10-30,1989-09-13,,,"Speed: 979.2 kmh, 608.45 mph, 528.73 kts "
1021,A319,A319,1999-09-19,,,"Speed: 734.38 kmh, 456.32 mph, 396.53 kts "
1022,737-800,737-800,2003-06-19,,,"Speed: 815.34 kmh, 506.63 mph, 440.25 kts "
1023,727,727,1970-11-04,,,"Speed: 904.2099264 kmh, 561.85 mph, 488.23 kts "
1024,757,77,1994-07-19,,,"Speed: 852.15 kmh, 529.5 mph, 460.12 kts "
1025,737-200,737-200,1980-01-13,,,"Speed: 991.75824 kmh, 616.25 mph, 535.51 kts "
1026,DC-8,DC-8,1990-12-20,,,"Speed: 706.95 kmh, 439.28 mph, 381.72 kts "
1027,MD-11F,MD-11F,2000-06-21,,,"Speed: 970.18 kmh, 602.84 mph, 523.86 kts "
1028,DC-9-31,DC-9-31,1987-12-21,,,"Speed: 975.03 kmh, 605.86 mph, 526.47 kts "
1029,Jetstream 31,,1995-04-04,,,"Speed: 522.08 kmh, 324.41 mph, 281.9 kts "
1030,757-200PF,757-200PF,1988-05-20,,,"Speed: 722.88 kmh, 449.18 mph, 390.32 kts "
1031,737-200,737-200,1987-04-30,,,"Speed: 699.87 kmh, 434.88 mph, 377.9 kts "
1032,DC-8,DC-8,1990-12-20,,,"Speed: 714.55 kmh, 444 mph, 385.83 kts "
1033,737-200,737-200,1996-01-24,,,"Speed: 801.1 kmh, 497.78 mph, 432.56 kts "
1034,Jetstream 31,,1998-02-24,,,"Speed: 468.68 kmh, 291.22 mph, 253.07 kts "
1035,727-231,727-231,1996-08-31,,,"Speed: 714.3073344 kmh, 443.85 mph, 385.7 kts "
1036,EMB-120RT,EMB-120RT,2001-03-17,,,"Speed: 412.26 kmh, 256.17 mph, 222.6 kts "
1037,747-132,747-132,1997-06-16,,,"Speed: 849.37 kmh, 527.77 mph, 458.62 kts "
