ModelName,Thrust,CylinderCount,CylinderConfig,PropSize
A-65-6J,0,,,
A-65-7,0,,,
A-65-8,0,,,
A-65-8F,0,,,
A-65-8FJ,0,,,
A-65-8J,0,,,
A-65-9,0,,,
A-65-9F,0,,,
A-65-9FJ,0,,,
A-65-9J,0,,,
A-65-12,0,,,
A-65-12F,0,,,
A-65-12FJ,0,,,
A-65-12J,0,,,
A-65-14,0,,,
A-65-14F,0,,,
A-65-14FJ,0,,,
A-65-14J,0,,,
IO-470-D,0,,,
IO-470-E,0,,,
IO-470-F,0,,,
IO-470-L,0,,,
IO-470-LO,0,,,
IO-470-M,0,,,
IO-470-S,0,,,
IO-470-U,0,,,
IO-470-V,0,,,
IO-470-VO,0,,,
IO-470-G,0,,,
IO-470-R,0,,,
IO-470-H,0,,,
IO-470-N,0,,,
IO-470-J,0,,,
IO-470-K,0,,,
IO-470-P,0,,,
IO-470-T,0,,,
L/IO-470-A,0,,,
0-470-11,0,,,
0-470-11B,0,,,
0-470-13,0,,,
0-470-13A,0,,,
0-470-4,0,,,
0-470-15,0,,,
O-470-A,0,,,
O-470-E,0,,,
O-470-J,0,,,
O-470-K,0,,,
O-470-L,0,,,
O-470-S,0,,,
O-470-B,0,,,
O-470-M,0,,,
O-470-N,0,,,
O-470-H,0,,,
O-470-G,0,,,
O-470-P,0,,,
IO-470-A,0,,,
IO-470-C,0,,,
O-470-T,0,,,
O-470-U,0,,,
A-70,0,,,
A-70-2,0,,,
A40-4,0,,,
A-40,0,,,
A-40-2,0,,,
A-40-3,0,,,
R-670,0,,,
R-670-A,0,,,
R-670-C,0,,,
R-670-B,0,,,
W-670M-1,0,,,
W-670K-1,0,,,
A-40-5,0,,,
A-80-8,0,,,
A-80-9,0,,,
TSIO-550-G,0,,,
O-200,0,,,
TSIOF-550-H,0,,,
O-200A,0,,,
O-470-13A,0,,,
A-75,0,,,
200,0,,,
IO550C1F,0,,,
O-200-D,0,,,
TSIO-550-K,0,,,
E-TSIOF-550-P,0,,,
IO-520-L8B,0,,,
TSIOL-550-C,0,,,
TSIOF550-D,0,,,
CENTURION 3.0,0,,,
O-520-F,0,,,
O-520-U/TS,0,,,
OX370 SERIES,0,,,
TSIO-550-N,0,,,
OX-340 SERIES,0,,,
IOX340 SERIES,0,,,
IO-370-DA3A,0,,,
CD 100 SER,0,,,
CD-170,0,,,
IO-370-C1F,0,,,
IOX370 SERIES,0,,,
XIO-370 SERIE,0,,,
O-170,0,,,
TITAN X-370,0,,,
TITAN X340,0,,,
GO-140,0,,,
164,0,,,
110HP,0,,,
100HP,0,,,
2700,0,,,
120,0,,,
2.7,0,,,
3000 SERIES,0,,,
WW3.3,0,,,
2850,0,,,
CC340,0,,,
OX-5,0,,,
OXX-6,0,,,
430R,0,,,
UL11-02,0,,,
MK-9,0,,,
GOBLIN MK 2&3,0,,,
GIPSY QUEEN,0,,,
GIPSY GRP 3,0,,,
GIPSY MAJOR,0,,,
GQ 30 MK2,0,,,
GQ 70-4,0,,,
GQ 70MK2,0,,,
GQ 70MK3,0,,,
GOBLIN MK 35,3100,,,
DA-150,0,,,
DA-50-R,0,,,
DA-70,0,,,
DA-215,0,,,
DW180VA,0,,,
DH180A4,0,,,
AE50R,0,,,
208,0,,,
228,0,,,
268,0,,,
TP-R90,0,,,
GIV SERIES,0,,,
CFX 800,0,,,
28,0,,,
29,0,,,
30,0,,,
40,0,,,
50,0,,,
IOX-360,0,,,
XO-340,0,,,
IOX-340S,0,,,
O-340,0,,,
IOX320B1L1N4,0,,,
OX-340CC,0,,,
EXPIO360A4B9N,0,,,
O360A1A,0,,,
EMRAX 228,0,,,
DIO360A1L1N40,0,,,
IOX-360-A1A9N,0,,,
SA-R917 SER,0,,,
E6T,0,,,
EP912STI,0,,,
EPEX 300 TI,0,,,
EP315ECI,0,,,
EP917TI,0,,,
GP7277,80290,,,
GP7270,74735,,,
STARFLITE,0,,,
6-390 SERIES,0,,,
6-410 SERIES,0,,,
6-440 SERIES,0,,,
V-770B SERIES,0,,,
6-440-C2,0,,,
