recordNumber,aircraftModel,Matched_Master_Model,confirmedSpeedKph,recordDate,MFR,TYPE-ACFT,FirstClassCount,EconomyCount,PilotCount
12226,C-5M,AC-5M,,2009-09-13,AVIA STROITEL,1,,,
12227,C-5M,AC-5M,,2009-09-13,AVIA STROITEL,1,,,
12228,C-5M,AC-5M,,2009-09-13,AVIA STROITEL,1,,,
12229,C-5M,AC-5M,,2009-09-13,AVIA STROITEL,1,,,
12230,C-5M,AC-5M,,2009-09-13,AVIA STROITEL,1,,,
12231,C-5M,AC-5M,,2009-09-13,AVIA STROITEL,1,,,
12232,C-5M,AC-5M,,2009-09-13,AVIA STROITEL,1,,,
12233,C-5M,AC-5M,,2009-09-13,AVIA STROITEL,1,,,
12234,C-5M,AC-5M,,2009-09-13,AVIA STROITEL,1,,,
12235,C-5M,AC-5M,,2009-09-13,AVIA STROITEL,1,,,
12236,C-5M,AC-5M,,2009-09-13,AVIA STROITEL,1,,,
12237,C-5M,AC-5M,,2009-09-13,AVIA STROITEL,1,,,
12238,C-5M,AC-5M,,2009-09-13,AVIA STROITEL,1,,,
12239,C-5M,AC-5M,,2009-09-13,AVIA STROITEL,1,,,
12240,C-5M,AC-5M,,2009-09-13,AVIA STROITEL,1,,,
12241,C-5M,AC-5M,,2009-09-13,AVIA STROITEL,1,,,
12242,C-5M,AC-5M,,2009-09-13,AVIA STROITEL,1,,,
12243,C-5M,AC-5M,,2009-09-13,AVIA STROITEL,1,,,
12244,C-5M,AC-5M,,2009-09-13,AVIA STROITEL,1,,,
12245,C-5M,AC-5M,,2009-09-13,AVIA STROITEL,1,,,
12246,C-5M,AC-5M,,2009-09-13,AVIA STROITEL,1,,,
12247,C-5M,AC-5M,,2009-09-13,AVIA STROITEL,1,,,
12248,C-5M,AC-5M,,2009-09-13,AVIA STROITEL,1,,,
12249,C-5M,AC-5M,,2009-09-13,AVIA STROITEL,1,,,
12250,C-5M,AC-5M,,2009-09-13,AVIA STROITEL,1,,,
12251,C-5M,AC-5M,,2009-09-13,AVIA STROITEL,1,,,
12252,C-5M,AC-5M,,2009-09-13,AVIA STROITEL,1,,,
12253,R44 Raven II,,,2009-10-12,,,,,
12254,T2C,PT2C,49.829,2009-07-26,SEALES F P,4,,,
12255,RV-6A,RV-6A,,2009-10-20,BENTON THOMAS M,4,,,
12256,G550,G50,,2009-12-21,TOOFON INC,6,,,
12257,Falcon 900,,,2010-01-03,,,,,
12258,C-5M,AC-5M,,2009-11-06,AVIA STROITEL,1,,,
12259,G550,G50,,2009-11-02,TOOFON INC,6,,,
12260,177,177,,2009-12-23,CESSNA,4,,,
12261,G550,G50,,2009-08-29,TOOFON INC,6,,,
12262,Tracer,,,2009-11-08,,,,,
12263,Tracer,,,2009-11-14,,,,,
12264,Tracer,,,2009-11-14,,,,,
12266,Tracer,,,2009-11-10,,,,,
12267,Magic 5,,,2009-08-19,,,,,
12268,Omega 6,,24.5,2007-04-17,,,,,
12269,ATOS VR,,46.3,2008-01-10,,,,,
12270,ATOS VR,,,2008-01-10,,,,,
12271,ATOS VR,,,2008-01-10,,,,,
12272,ATOS VR,,,2008-01-10,,,,,
12273,ATOS VQ,,,2010-01-11,,,,,
12274,Magus,,,2006-07-20,,,,,
12275,Avax RSF,,30.97,2006-07-19,,,,,
12276,Boomerang 4,,41.15,2006-07-23,,,,,
12277,Boomerang 4,,36.07,2006-07-26,,,,,
12278,Avax RSF,,34.15,2006-07-20,,,,,
12279,Tracer,,,2006-10-25,,,,,
12280,BiGolden,,,2006-12-07,,,,,
12281,Sigma 7,,,2009-09-19,,,,,
12282,ReAction,,,2009-09-28,,,,,
12283,Morpheus II,,64.85,2009-09-19,,,,,
12284,TST-9 Junior,,166.8,2009-06-14,,,,,
12285,Xwing,,64.7,2009-08-14,,,,,
12286,Xwing,,,2009-09-01,,,,,
12287,Dakota Sport,,64.17,2009-05-06,,,,,
12288,iXESS,,,2009-08-19,,,,,
12289,Straton D-8,,,2009-08-15,,,,,
12290,Chronos 14M,,,2009-09-11,,,,,
12291,Nucleon,,51.9,2009-03-21,,,,,
12292,Lapoon,,,2009-09-26,,,,,
12293,Synthesis,,45.14,2009-03-21,,,,,
12294,Epsilon 5,,,2009-05-01,,,,,
12295,Epsilon 6,,,2009-05-01,,,,,
12296,Lapoon,,,2009-07-14,,,,,
12297,Lapoon,,,2009-07-14,,,,,
12298,Lapoon,,,2009-07-21,,,,,
12299,Plasma,,54.4,2009-09-21,,,,,
12300,RV-6A,RV-6A,,2010-01-31,BENTON THOMAS M,4,,,
12301,,,,2009-09-19,,,,,
12302,,,,2009-09-19,,,,,
12303,Space Shuttle Orbiter and International Space Station,,,2009-08-31,,,,,
12304,R44,R44,194.8,2009-07-05,ROBINSON HELICOPTER,6,,,
12305,ELA-07,,,2009-06-23,,,,,
12306,ELA-07,,162.2,2009-06-23,,,,,
12307,GP-4,GP-4,,2010-01-16,SALAMONE PLACIDO,4,,,
12308,R44 Raven II,,215.7,2009-10-13,,,,,
12309,R44 Raven II,,206.57,2009-10-13,,,,,
12310,R44 Raven II,,,2009-10-12,,,,,
12311,R44 Raven II,,204.19,2009-10-13,,,,,
12312,RV-10,RV-10,,2010-01-31,ELLIOTT KIRBY,4,,,
12313,C-45,C-45,,2010-02-13,BEECH,5,,,
12314,A319,A319,,2010-01-10,AIRBUS,5,,,
12315,Nucleon 29,,,2009-10-27,,,,,
12316,Thunder Mustang,,,2010-03-18,,,,,
12317,Thunder Mustang,,,2010-03-19,,,,,
12318,4000,4000,,2010-04-29,SWIFT AIRCRAFT CORP,4,,,
12319,R44,R44,,2010-04-11,ROBINSON HELICOPTER,6,,,
12320,Magic,,161.2,2010-03-28,,,,,
12321,,,,2009-12-05,,,,,
12322,,,,2009-12-05,,,,,
12323,Swift Light,,,2010-01-11,,,,,
12324,Harrier DB6,,,1987-01-12,,,,,
12325,Harrier GR5,,,1989-08-14,,,,,
12326,Harrier GR5,,,1989-08-14,,,,,
12327,Harrier GR5,,,1989-08-14,,,,,
12328,Do 31,,,1969-05-27,,,,,
12329,Do 31,,,1969-05-27,,,,,
12330,Yak-141,,,1991-04-11,,,,,
12331,Yak-141,,,1991-04-11,,,,,
12332,Yak-141,,,1991-04-25,,,,,
12333,Yak-141,,,1991-04-25,,,,,
12334,Yak-141,,,1991-04-25,,,,,
12335,Yak-141,,,1991-04-25,,,,,
12336,Yak-141,,,1991-04-25,,,,,
12337,Yak-141,,,1991-04-25,,,,,
12338,Yak-141,,,1991-04-12,,,,,
12339,Yak-141,,,1991-04-12,,,,,
12340,Yak-141,,,1991-04-12,,,,,
12341,Sting 250,,50.1,2010-07-08,,,,,
12342,Sting 250,,48.3,2010-05-26,,,,,
12343,P-51 Mustang,,,2009-05-27,,,,,
12344,G550,G50,,2010-02-17,TOOFON INC,6,,,
12345,4000,4000,,2010-01-17,SWIFT AIRCRAFT CORP,4,,,
12346,,,,2009-09-08,,,,,
12347,,,,2009-09-08,,,,,
12348,,,,2009-09-08,,,,,
12349,,,,2009-09-08,,,,,
12350,,,,2009-09-08,,,,,
12351,,,,2009-09-08,,,,,
12352,,,,2009-09-08,,,,,
12353,,,,2009-09-08,,,,,
12354,,,,2009-09-08,,,,,
12355,Baron BE58,,,2010-07-17,,,,,
12357,B-1B,BJ-1B,,2010-05-01,MAUPIN-BARNHART,1,,,
12358,B-1B,BJ-1B,,2010-04-29,MAUPIN-BARNHART,1,,,
12359,B-1B,BJ-1B,,2010-04-30,MAUPIN-BARNHART,1,,,
12360,G450,G50,,2010-06-07,TOOFON INC,6,,,
12361,Thunder Mustang,,586.086,2010-06-13,,,,,
12362,E-1,E-1,,2010-07-26,EBNETER ARNOLD E,4,,,
12363,60,60,,2010-08-08,LITTLE WINDY,4,,,
12364,60,60,,2010-08-08,LITTLE WINDY,4,,,
12365,60,60,,2010-08-08,LITTLE WINDY,4,,,
12366,G450,G50,,2010-08-09,TOOFON INC,6,,,
12367,Space Shuttle Orbiter and International Space Station,,,2010-04-07,,,,,
12368,Su-24M,,955.81,1991-07-15,,,,,
12369,Sabreliner 65,,629.3,2010-03-21,,,,,
12371,Sabreliner 65,,,2010-03-19,,,,,
12372,Sabreliner 65,,,2010-03-19,,,,,
12373,Sabreliner 65,,,2010-03-20,,,,,
12374,Sabreliner 65,,,2010-03-20,,,,,
12375,Sabreliner 65,,,2010-03-20,,,,,
12376,Sabreliner 65,,,2010-03-20,,,,,
12377,Sabreliner 65,,,2010-03-20,,,,,
12378,Sabreliner 65,,,2010-03-21,,,,,
12379,Sabreliner 65,,,2010-03-21,,,,,
12380,NT-07,,,2010-05-25,,,,,
12381,NT-07,,,2010-05-25,,,,,
12382,NT-07,,,2010-05-25,,,,,
12383,NT-07,,,2010-05-25,,,,,
12384,NT-07,,,2010-05-25,,,,,
12385,V-14,RV-14,,2010-01-02,VANS AIRCRAFT INC,4,,,
12386,M56-XP,,,2010-02-17,,,,,
12387,M56-XP,,,2010-02-17,,,,,
12388,Zephyr 7,,,2010-07-23,,,,,
12389,Zephyr 7,,,2010-07-23,,,,,
12390,Zephyr 7,,,2010-07-23,,,,,
12391,MT-03,MT-3,,2010-04-06,TAYLOR,4,,,
12392,MT-03,MT-3,,2010-04-09,TAYLOR,4,,,
12393,MT-03,MT-3,,2010-04-24,TAYLOR,4,,,
12394,MT-03,MT-3,,2010-04-24,TAYLOR,4,,,
12395,MT-03,MT-3,,2010-04-29,TAYLOR,4,,,
12396,Merlin IIIB,,,2010-09-17,,,,,
12397,Merlin IIIB,,,2010-09-19,,,,,
12398,G200,G200,,2010-09-14,HOWARD GREGORY,4,,,
12399,G200,G200,,2010-09-13,HOWARD GREGORY,4,,,
12400,Boomerang 7,,,2010-08-11,,,,,
12401,210,210,,1977-01-02,BELL HELICOPTER TEXTRON INC,6,,,
12402,210,210,,1977-01-02,BELL HELICOPTER TEXTRON INC,6,,,
12403,Commander 112TC,,,2010-06-26,,,,,
12404,Commander 112TC,,,2010-06-25,,,,,
12405,SR22,SR22,,2010-08-18,UNIVERSITY OF ARIZONA/BAE,4,,,
12406,SR22,SR22,,2010-08-18,UNIVERSITY OF ARIZONA/BAE,4,,,
12407,RV-7A,RV-7A,,2010-09-03,UPRIGHT ALAN M,4,,,
12408,RV-7A,RV-7A,,2010-09-01,UPRIGHT ALAN M,4,,,
12409,II-S RG,,,2010-09-25,,,,,
12410,Plasma,,77.0,2010-04-18,,,,,
12411,,,54.43,2010-08-11,,,,,
12412,Sting 250,,51.9,2010-07-13,,,,,
12413,Naja,,,2010-08-21,,,,,
12414,Naja,,,2010-08-21,,,,,
12415,Sting 250,,,2010-09-11,,,,,
12416,Sting 250,,,2010-08-22,,,,,
12417,SF-260,SF-260C,,2009-05-21,SIAI-MARCHETTI,4,,,
12418,SF-260,SF-260C,,2009-05-27,SIAI-MARCHETTI,4,,,
12419,SF-260,SF-260C,,2009-05-27,SIAI-MARCHETTI,4,,,
12420,SF-260,SF-260C,,2009-05-27,SIAI-MARCHETTI,4,,,
12421,550 Citation II,,,2009-10-10,,,,,
12422,GlaStar,,,2008-07-22,,,,,
12423,GlaStar,,,2008-07-29,,,,,
12424,GlaStar,,,2008-07-29,,,,,
12425,GlaStar,,,2008-07-29,,,,,
12426,GlaStar,,,2008-07-29,,,,,
12427,GlaStar,,,2008-07-29,,,,,
12428,GlaStar,,,2008-07-25,,,,,
12429,GlaStar,,,2008-07-25,,,,,
12430,GlaStar,,,2008-07-25,,,,,
12431,GlaStar,,,2008-07-23,,,,,
12432,GlaStar,,,2008-07-23,,,,,
12433,GlaStar,,,2008-07-23,,,,,
12434,GlaStar,,,2008-07-22,,,,,
12435,GP-4,GP-4,,2010-08-07,SALAMONE PLACIDO,4,,,
12436,GP-4,GP-4,,2010-08-08,SALAMONE PLACIDO,4,,,
12437,GP-4,GP-4,,2010-09-01,SALAMONE PLACIDO,4,,,
12438,GP-4,GP-4,,2010-09-02,SALAMONE PLACIDO,4,,,
12445,Western Air Racing,,389.567,2010-09-12,,,,,
12446,Falcon 900,,,2010-10-28,,,,,
12447,PA-22-150 Tri-Pacer,,,2010-10-30,,,,,
12448,A319,A319,,2010-11-27,AIRBUS,5,,,
12449,SR22,SR22,,2010-12-10,UNIVERSITY OF ARIZONA/BAE,4,,,
12450,SR22T,SR22T,,2010-12-20,CIRRUS DESIGN CORP,4,,,
12451,,,,2010-11-05,,,,,
12452,Nucleon,,,2010-04-08,,,,,
12453,Chronos 14,,,2010-09-13,,,,,
12454,Viper 2,,59.71,2010-10-28,,,,,
12455,II-S RG,,,2010-10-20,,,,,
12456,II-S RG,,,2010-10-20,,,,,
12457,Hunter T 68,,908.7,2010-11-20,,,,,
12458,CEA-308,,329.09,2010-12-01,,,,,
12459,CEA-308,,360.13,2010-12-02,,,,,
12460,CEA-308,,326.76,2010-12-01,,,,,
12461,CEA-308,,,2010-12-01,,,,,
12462,Fly Baby,,,2011-01-03,,,,,
12463,Fly Baby,,,2011-01-03,,,,,
12464,G650,G650,,2011-01-12,GULFSTREAM AEROSPACECORP,5,,,
12465,GlaStar,,,2010-04-16,,,,,
12466,GlaStar,,,2010-04-16,,,,,
12467,GlaStar,,,2010-04-16,,,,,
12468,GlaStar,,,2010-04-16,,,,,
12469,GlaStar,,,2010-04-16,,,,,
12470,GlaStar,,,2010-04-16,,,,,
12471,GlaStar,,,2010-04-16,,,,,
12472,GlaStar,,,2010-04-16,,,,,
12473,GlaStar,,,2010-04-16,,,,,
12474,GlaStar,,,2010-04-16,,,,,
12475,GlaStar,,,2010-04-16,,,,,
12476,Columbia 400,,,2011-05-21,,,,,
12477,Legacy,,,2011-03-10,,,,,
12478,Legacy,,,2011-03-14,,,,,
12479,Solar Impulse,,,2010-07-08,,,,,
12480,Solar Impulse,,,2010-07-08,,,,,
12481,Solar Impulse,,,2010-07-08,,,,,
12483,,,,2010-10-31,,,,,
12484,Legacy,,,2011-03-10,,,,,
12485,Legacy,,,2011-03-11,,,,,
12486,Legacy,,,2011-03-14,,,,,
12487,G150,G150,,2011-03-11,TOOFON INC,6,,,
12488,G150,G150,,2011-03-11,TOOFON INC,6,,,
12489,G150,G150,,2011-03-18,TOOFON INC,6,,,
12490,PA-46-350P Malibu Mirage,,,2011-05-11,,,,,
12491,G150,G150,,2011-05-15,TOOFON INC,6,,,
12492,Baron BE58,,,2011-05-27,,,,,
12493,Baron BE58,,,2011-05-29,,,,,
12494,GlaStar,,,2007-08-01,,,,,
12495,GlaStar,,,2007-12-04,,,,,
12496,GlaStar,,,2007-08-01,,,,,
12497,GlaStar,,,2007-08-04,,,,,
12498,GlaStar,,,2007-08-04,,,,,
12499,GlaStar,,,2007-07-30,,,,,
12500,GlaStar,,,2007-07-30,,,,,
12501,GlaStar,,,2007-07-30,,,,,
12502,GlaStar,,,2007-07-30,,,,,
12503,GlaStar,,,2007-07-30,,,,,
12504,GlaStar,,,2007-07-30,,,,,
12505,GlaStar,,,2008-04-16,,,,,
12506,GlaStar,,,2008-04-16,,,,,
12507,GlaStar,,,2007-12-28,,,,,
12508,GlaStar,,,2007-08-01,,,,,
12509,GlaStar,,,2008-04-16,,,,,
12510,GlaStar,,,2008-04-16,,,,,
12511,GlaStar,,,2007-07-30,,,,,
12512,GlaStar,,,2008-04-16,,,,,
12513,GlaStar,,,2007-08-01,,,,,
12514,GlaStar,,,2007-07-30,,,,,
12515,GlaStar,,,2007-07-30,,,,,
12516,GlaStar,,,2007-08-01,,,,,
12517,GlaStar,,,2007-08-01,,,,,
12518,GlaStar,,,2007-08-01,,,,,
12519,GlaStar,,,2007-08-01,,,,,
12520,GlaStar,,,2007-08-01,,,,,
12521,GlaStar,,,2007-08-04,,,,,
12522,GlaStar,,,2007-12-28,,,,,
12523,GlaStar,,,2007-12-04,,,,,
12524,GlaStar,,,2007-12-04,,,,,
12525,Colt 21A,,,2008-01-24,,,,,
12526,Colt 21A,,,2008-01-24,,,,,
12527,,,,2005-04-15,,,,,
12528,,,,2005-04-16,,,,,
12529,,,,2005-04-16,,,,,
12530,,,,2005-04-24,,,,,
12531,,,,2005-05-21,,,,,
12532,,,,2005-10-07,,,,,
12533,,,,2006-06-02,,,,,
12534,,,,2006-06-24,,,,,
12535,,,,2006-08-09,,,,,
12536,,,,2008-05-03,,,,,
12537,,,,2008-05-03,,,,,
12538,,,,2009-08-03,,,,,
12539,182,182,,2011-06-23,TEXTRON AVIATION INC,4,,,
12540,M20C,M20C,,2011-07-04,MOONEY,4,,,
12541,PA-46-310P Malibu,,,2011-06-13,,,,,
12542,525A Citation CJ2+,,,2011-06-21,,,,,
12543,Gamera,,,2011-05-12,,,,,
12544,Gamera,,,2011-05-12,,,,,
12545,Gamera,,,2011-07-13,,,,,
12546,Gamera,,,2011-07-13,,,,,
12547,,,,2011-05-25,,,,,
12548,Nucleon,,56.93,2010-10-17,,,,,
12550,Fusion,,72.96,2011-02-05,,,,,
12551,QuikR,,164.53,2011-02-17,,,,,
12552,QuikR,,165.77,2011-02-17,,,,,
12553,Synthesis 31,,,2011-06-26,,,,,
12554,R44 Raven II,,,2011-09-20,,,,,
12555,GX,GOX,,2011-07-09,OLA FLYBABY,4,,,
12556,G550,G50,,2011-08-08,TOOFON INC,6,,,
12557,PA-46-350P Malibu Mirage,,,2011-08-22,,,,,
12558,182RG,182RG,,2011-09-02,CESSNA,4,,,
12559,Phenom 100,,,2011-09-02,,,,,
12560,F4U-4 Corsair,,,2011-09-10,,,,,
12562,Sonerai II-L,,,2008-06-08,,,,,
12563,,,,2011-07-16,,,,,
12564,A320,320,,2011-09-02,WINBURN L A/WINBURN S R,4,,,
12565,C-5M,AC-5M,,2011-09-26,AVIA STROITEL,1,,,
12566,ICARE 2,CICARE 8,,2011-09-10,KEITH BARR,6,,,
12567,ICARE 2,CICARE 8,,2011-08-17,KEITH BARR,6,,,
12568,ICARE 2,CICARE 8,,2011-08-17,KEITH BARR,6,,,
12569,ICARE 2,CICARE 8,,2011-08-17,KEITH BARR,6,,,
12570,G150,G150,,2012-01-22,TOOFON INC,6,,,
12571,787,77,,2011-12-07,BREECHER RAYMOND/BREECHER CARL,4,,,
12572,787,77,871.36,2011-12-08,BREECHER RAYMOND/BREECHER CARL,4,,,
12573,Plasma,,51.6,2011-08-05,,,,,
12574,Nucleon,,,2011-08-17,,,,,
12575,Nucleon,,,2011-08-17,,,,,
12577,P-51D Mustang,,,2012-03-04,,,,,
12578,210,210,,2008-05-18,BELL HELICOPTER TEXTRON INC,6,,,
12579,210,210,,2008-05-18,BELL HELICOPTER TEXTRON INC,6,,,
12580,Yak-55,,,2009-08-08,,,,,
12581,Yak-55,,,2009-08-11,,,,,
12582,Yak-55,,,2009-08-09,,,,,
12583,ASW 27,ASW 27,,2009-05-16,ALEXANDER SCHLEICHER GMBH & CO,1,,,
12584,H-201 Standard-Libelle,,,2009-06-29,,,,,
12585,H-201 Standard-Libelle,,,2009-06-29,,,,,
12586,H-201 Standard-Libelle,,,2009-06-28,,,,,
12587,H-201 Standard-Libelle,,,2009-06-29,,,,,
12588,H-201 Standard-Libelle,,,2009-06-29,,,,,
12589,Nimbus 4D,,,2009-09-12,,,,,
12590,H-201 Standard-Libelle,,,2009-09-13,,,,,
12591,2-33A,T-33A,,2011-03-24,BURCHINAL,4,,,
12592,2-33A,T-33A,,2011-03-24,BURCHINAL,4,,,
12593,2-33A,T-33A,,2011-03-24,BURCHINAL,4,,,
12594,SparrowHawk,,148.107,2011-04-20,,,,,
12595,Duo Discus,,,2011-04-21,,,,,
12596,Duo Discus,,,2011-04-21,,,,,
12597,Kestrel,,,2011-06-01,,,,,
12598,PW-5,PW-5,,2011-07-02,WSK PZL-SWIDNIK,1,,,
12599,Ventus BT,,,2011-07-30,,,,,
12600,PW-5,PW-5,,2011-08-07,WSK PZL-SWIDNIK,1,,,
12601,PW-5,PW-5,,2006-08-19,WSK PZL-SWIDNIK,1,,,
12602,Silent 2,,,2005-04-24,,,,,
12603,ASH 26 E,ASH 26 E,144.0328,2005-07-04,SCHLEICHER ALEXANDER GMBH & CO,1,,,
12604,PW-5,PW-5,,2005-09-07,WSK PZL-SWIDNIK,1,,,
12605,PW-5,PW-5,,2005-09-07,WSK PZL-SWIDNIK,1,,,
12606,PW-5,PW-5,54.64,2005-09-07,WSK PZL-SWIDNIK,1,,,
12607,PW-5,PW-5,54.64,2005-09-07,WSK PZL-SWIDNIK,1,,,
12608,PW-5,PW-5,,2005-09-07,WSK PZL-SWIDNIK,1,,,
12610,PW-5,PW-5,,2005-09-07,WSK PZL-SWIDNIK,1,,,
12611,PW-5,PW-5,,2006-06-02,WSK PZL-SWIDNIK,1,,,
12612,Kestrel,,,2005-05-19,,,,,
12613,Discus b,,,2005-06-17,,,,,
12614,ASH 26 E,ASH 26 E,,2005-07-11,SCHLEICHER ALEXANDER GMBH & CO,1,,,
12615,Kestrel,,,2005-03-28,,,,,
12616,Duo Discus,,,2006-04-04,,,,,
12617,Discus 2a,,,2006-04-04,,,,,
12618,ASW 27,ASW 27,,2006-04-04,ALEXANDER SCHLEICHER GMBH & CO,1,,,
12619,ASH 26 E,ASH 26 E,145.688,2006-05-21,SCHLEICHER ALEXANDER GMBH & CO,1,,,
12620,PW-5,PW-5,,2006-06-20,WSK PZL-SWIDNIK,1,,,
12621,PW-5,PW-5,,2006-07-24,WSK PZL-SWIDNIK,1,,,
12622,DG-500M,DG-500M,,2006-08-29,GLASER-DIRKS,1,,,
12623,LS8-a,LS8-S,,2007-04-07,DG FLUGZEUGBAU GMBH,1,,,
12624,PW-5,PW-5,,2007-05-27,WSK PZL-SWIDNIK,1,,,
12625,PW-5,PW-5,,2007-05-20,WSK PZL-SWIDNIK,1,,,
12626,ASH 25 Mi,,149.1999,2007-07-13,,,,,
12627,ASH 25 Mi,,149.1999,2007-07-13,,,,,
12628,L 23 Super Blanik,,,2007-11-15,,,,,
12629,LS8,LS8,,2007-04-05,ROLLADEN-SCHNEIDER,1,,,
12630,LS8,LS8,,2007-04-05,ROLLADEN-SCHNEIDER,1,,,
12631,ASW 27b,ASW 27,145.0,2007-06-14,ALEXANDER SCHLEICHER GMBH & CO,1,,,
12632,ASW 27,ASW 27,172.148,2008-03-27,ALEXANDER SCHLEICHER GMBH & CO,1,,,
12633,ASW 27,ASW 27,172.148,2008-03-27,ALEXANDER SCHLEICHER GMBH & CO,1,,,
12634,PW-5,PW-5,82.06,2008-08-02,WSK PZL-SWIDNIK,1,,,
12635,Duo Discus,,,2008-09-07,,,,,
12636,Duo Discus,,,2008-09-07,,,,,
12637,SparrowHawk ,,,2009-05-18,,,,,
12638,SparrowHawk ,,91.945,2009-05-18,,,,,
12639,SparrowHawk ,,,2009-05-18,,,,,
12640,SparrowHawk ,,,2009-04-25,,,,,
12641,SparrowHawk ,,,2009-06-28,,,,,
12642,SparrowHawk ,,,2009-06-28,,,,,
12643,SparrowHawk ,,103.297,2009-06-28,,,,,
12644,PW-5,PW-5,,2009-08-08,WSK PZL-SWIDNIK,1,,,
12645,Duo Discus,,,2011-02-24,,,,,
12646,SparrowHawk,,83.82,2002-07-20,,,,,
12647,ASH 25 Mi,,171.29,2003-07-29,,,,,
12648,ASH 25 Mi,,171.29,2003-07-29,,,,,
12649,ASH 25 Mi,,119.11,2003-12-13,,,,,
12650,ASH 25 Mi,,119.11,2003-12-13,,,,,
12651,ASH 25 Mi,,,2003-12-13,,,,,
12652,ASH 25 Mi,,,2003-12-13,,,,,
12653,ASH 25 Mi,,,2003-12-13,,,,,
12654,ASH 25 Mi,,,2003-12-13,,,,,
12655,Nucleon,,52.08,2011-09-02,,,,,
12656,Nucleon,,,2011-09-02,,,,,
12657,Shark UL,,282.2,2011-12-23,,,,,
12658,Shark UL,,274.8,2011-12-15,,,,,
12659,Shark UL,,282.4,2011-12-23,,,,,
12660,Yak-3,,669.529,2011-10-11,,,,,
12661,T-33,T-33,,2012-03-20,FEIBAO JETS,4,,,
12663,Plus,,,2011-04-16,,,,,
12664,ATOS VR,,,2012-01-09,,,,,
12665,ATOS VR,,,2012-01-09,,,,,
12666,Mantra,,,2011-05-06,,,,,
12667,Mantra,,,2011-05-06,,,,,
12668,Mantra,,26.14,2011-05-06,,,,,
12669,BiGolden XC,,31.92,2011-04-22,,,,,
12670,K2,KR2,25.42,2011-04-20,GAUDLIP WILLIAM J,4,,,
12671,Mantra,,28.66,2011-03-30,,,,,
12672,Ventus 2cxM,,,2011-12-20,,,,,
12673,Ventus 2cxM,,,2011-12-20,,,,,
12674,Ventus 2cxM,,,2011-12-20,,,,,
12675,SparrowHawk,,121.87,2011-04-02,,,,,
12676,PW-5,PW-5,,2011-07-11,WSK PZL-SWIDNIK,1,,,
12677,PW-5,PW-5,,2011-07-11,WSK PZL-SWIDNIK,1,,,
12678,Hadron,,,2012-01-02,,,,,
12679,DR400,R400,,2012-03-14,INLAND,4,,,
12680,DR400,R400,,2012-03-14,INLAND,4,,,
12681,Yak-55,,,2011-09-27,,,,,
12682,LCT30,,,2011-08-25,,,,,
12683,Join't2,,23.22,2011-04-03,,,,,
12684,777,777F,,2011-12-28,BOEING,5,,,
12685,900XP,,,2012-04-11,,,,,
12686,Space Shuttle Orbiter and International Space Station,,,2011-02-26,,,,,
12687,Nucleon,,73.2,2011-10-02,,,,,
12688,Speedster,,,2012-02-25,,,,,
12689,Hadron,,,2012-01-22,,,,,
12690,Nucleon 29,,,2012-03-06,,,,,
17231,AS350,AS350B,,1985-07-27,AEROSPATIALE,6,,,
17232,AS350,AS350B,,1985-07-26,AEROSPATIALE,6,,,
17233,AS350,AS350B,,1985-07-27,AEROSPATIALE,6,,,
17234,AS350,AS350B,,1985-08-02,AEROSPATIALE,6,,,
17235,AS350,AS350B,,1985-08-02,AEROSPATIALE,6,,,
17236,AS350 D,AS350D,,1986-01-20,AEROSPATIALE,6,,,
17237,AS350 D,AS350D,,1986-01-19,AEROSPATIALE,6,,,
17238,Dauphin II,,,1980-02-08,,,,,
17239,Dauphin II,,,1980-02-06,,,,,
17240,Dauphin II,,,1980-02-08,,,,,
17241,109 MK11,,,1988-06-01,,,,,
17242,109 MK11,,,1988-06-01,,,,,
17243,109 MK11,,,1988-06-01,,,,,
17244,109 MK11,,,1988-05-31,,,,,
17245,109 MK11,,,1988-05-31,,,,,
17246,109 MK11,,,1988-05-31,,,,,
17247,109A,109A,,1981-10-07,AGUSTA SPA,6,,,
17248,109A,109A,,1981-09-13,AGUSTA SPA,6,,,
17249,206L,206L,,1985-06-21,BELL,6,,,
17250,206L-II Long Ranger,,,1982-09-30,,,,,
17251,206L-II Long Ranger,,,1982-09-30,,,,,
17252,206L-II Long Ranger,,,1982-09-30,,,,,
17253,206L-II Long Ranger,,,1982-09-30,,,,,
17254,206L-II Long Ranger,,,1982-09-30,,,,,
17255,206L-II Long Ranger,,,1982-09-09,,,,,
17256,206L-II Long Ranger,,,1982-09-10,,,,,
17257,206L-II Long Ranger,,,1982-09-30,,,,,
17258,206L-II Long Ranger,,,1982-09-14,,,,,
17259,206L-II Long Ranger,,,1982-09-12,,,,,
17260,206L-II Long Ranger,,,1982-09-22,,,,,
17261,206L-II Long Ranger,,,1982-09-07,,,,,
17262,206L-II Long Ranger,,,1982-09-07,,,,,
17263,206L-II Long Ranger,,,1982-09-09,,,,,
17264,206L-II Long Ranger,,,1982-09-13,,,,,
17265,206L-II Long Ranger,,,1982-09-04,,,,,
17266,206L-II Long Ranger,,,1982-09-30,,,,,
17267,206L-II Long Ranger,,,1982-09-27,,,,,
17268,206L-II Long Ranger,,,1982-09-30,,,,,
17269,206L-II Long Ranger,,,1982-09-09,,,,,
17270,206L-II Long Ranger,,,1982-09-10,,,,,
17271,206L-II Long Ranger,,,1982-09-07,,,,,
17272,206L-II Long Ranger,,,1982-09-09,,,,,
