recordNumber,aircraftModel,Matched_Master_Model,confirmedSpeedKph,recordDate,MFR,TYPE-ACFT,FirstClassCount,EconomyCount,PilotCount
9327,210N,210N,,1994-05-26,CESSNA,4,,,
9328,210N,210N,,1994-05-26,CESSNA,4,,,
9329,210N,210N,,1994-05-26,CESSNA,4,,,
9330,310,310,,1992-06-23,SCHRECK FBA,4,,,
9331,310,310,,1992-06-28,SCHRECK FBA,4,,,
9332,PA-60,P-60,,1992-06-23,BEST AVIATION SERVICES LLC,2,,,
9333,310,310,,1992-06-23,SCHRECK FBA,4,,,
9334,Bonanza A36,,,1993-07-04,,,,,
9335,Baron,,,1998-04-19,,,,,
9336,Baron 58,,,1994-02-02,,,,,
9337,Baron 58,,,1994-02-02,,,,,
9338,Baron 58,,,1994-02-02,,,,,
9339,Aztec,,,1981-12-17,,,,,
9340,PA-31 Navajo Panther,,,1978-09-17,,,,,
9341,Turbo Seneca,,,1986-12-17,,,,,
9342,PA-31 Navajo Panther,,,1978-09-23,,,,,
9343,Baron 58TC,,,1991-04-06,,,,,
9344,PA-23-250 Aztec,,,1979-12-17,,,,,
9345,Baron C55,,,1973-08-28,,,,,
9346,Bonanza A36,,,1971-06-28,,,,,
9347,Bonanza A36TC,,,1980-07-13,,,,,
9348,Malibu,,,1984-02-19,,,,,
9349,Aerostar 601P,,,2001-10-15,,,,,
9350,310R,310R,,1998-08-04,CESSNA,5,,,
9351,310,310,,1992-06-30,SCHRECK FBA,4,,,
9352,Aztec,,,1971-06-29,,,,,
9353,Aerostar 602P,,,1999-05-16,,,,,
9354,Aerostar 602P,,,1999-05-13,,,,,
9355,PA-60-602P Aerostar,,,2002-04-02,,,,,
9356,Aerostar 602P,,,1999-05-17,,,,,
9357,Malibu,,,1987-06-12,,,,,
9358,PA-60-602P,PA-60-602P,,1995-08-21,PIPER,5,,,
9359,PA-46-310P,PA-46-310P,,1990-04-16,NEW PIPER AIRCRAFT INC,4,,,
9360,PA-46-310P Malibu,,,1984-12-07,,,,,
9361,PA-32R-300 Lance,,,1985-06-02,,,,,
9362,PA-32R-300 Lance,,,1985-06-02,,,,,
9363,Baron,,,1989-04-10,,,,,
9364,Baron 58,,,1994-05-17,,,,,
9365,AT-6D,AT-6D,,2003-09-06,NORTH AMERICAN,4,,,
9366,Baron BE58,,,2003-09-19,,,,,
9367,Baron BE58,,,2003-09-15,,,,,
9368,PA-60,P-60,,1992-06-23,BEST AVIATION SERVICES LLC,2,,,
9369,310,310,,1992-06-23,SCHRECK FBA,4,,,
9370,Baron,,,1983-05-20,,,,,
9371,PA-46-310P Malibu,,,1983-10-02,,,,,
9372,340,340,,1990-08-01,SABRE,7,,,
9373,P210N,P210N,,1991-07-31,CESSNA,4,,,
9374,Malibu,,,1987-06-15,,,,,
9375,PA-23 Aztec,,,1986-06-28,,,,,
9376,T210   ,T210,,1992-07-25,CESSNA,4,,,
9377,SK-700,SK-700,,1996-03-01,STARKRAFT INC,4,,,
9378,PA-32R-300 Lance,,,1986-07-02,,,,,
9379,402C,402C,,1984-04-28,CESSNA,5,,,
9380,Eagle I,,,1981-06-15,,,,,
9381,Malibu,,,1987-06-22,,,,,
9382,Malibu,,,1987-01-22,,,,,
9383,Bonanza A36,,,1988-08-04,,,,,
9384,PA-60-602P,PA-60-602P,,1995-07-19,PIPER,5,,,
9385,PA-60-602P,PA-60-602P,,1995-07-28,PIPER,5,,,
9386,PA-60-602P Aerostar,,,2003-06-26,,,,,
9387,PA-60-602P,PA-60-602P,,1995-07-13,PIPER,5,,,
9388,PA-60-602P,PA-60-602P,,1995-08-13,PIPER,5,,,
9389,P210N,P210N,,1994-05-21,CESSNA,4,,,
9390,Baron 58,,,1994-05-21,,,,,
9391,Aerostar 601P,,,1981-11-25,,,,,
9392,310 Riley Rocket,,,1991-03-07,,,,,
9393,SK-700,SK-700,,1996-03-01,STARKRAFT INC,4,,,
9394,Baron B55,,,1993-07-30,,,,,
9395,S35,S35,,1967-06-23,BEECH,4,,,
9396,340,340,,1998-05-26,SABRE,7,,,
9397,Seneca II,,,1986-01-20,,,,,
9398,T210 Centurion,,,1980-11-26,,,,,
9399,T210 Centurion,,,1980-11-29,,,,,
9400,T210 Centurion,,,1980-12-01,,,,,
9401,T210 Centurion,,,1980-11-24,,,,,
9402,Aerostar 601P,,,1985-01-16,,,,,
9403,Aerostar 602P,,,1992-05-21,,,,,
9404,Malibu,,,1991-09-16,,,,,
9405,Baron,,,1989-05-22,,,,,
9406,Aztec,,,1985-05-27,,,,,
9407,Aztec,,,1985-05-27,,,,,
9408,Bonanza F33A,,,1993-11-14,,,,,
9409,Baron 58,,,1994-02-03,,,,,
9410,Baron 58,,,1994-02-03,,,,,
9411,Baron 58P,,,1996-06-08,,,,,
9412,310,310,,1992-07-20,SCHRECK FBA,4,,,
9413,D.H. 90 Dragonfly,,,1965-08-05,,,,,
9414,310,310,,1992-07-22,SCHRECK FBA,4,,,
9415,210N,210N,,1994-05-27,CESSNA,4,,,
9416,310,310,,1992-06-16,SCHRECK FBA,4,,,
9417,T303 Crusader,,,1994-05-21,,,,,
9418,Malibu,,,1987-01-28,,,,,
9419,PA-31-350,PA-31-350,,1997-04-11,PIPER,5,,,
9420,Baron,,,1989-04-01,,,,,
9421,Bonanza V35B,,,1999-10-02,,,,,
9422,Bonanza V35B,,,1999-10-01,,,,,
9423,PA-32R-300 Lance,,,1985-06-18,,,,,
9424,Bonanza V35B,,,2001-04-26,,,,,
9425,Bonanza V35B,,,2001-04-26,,,,,
9426,PA-32R-300 Lance,,,1985-06-17,,,,,
